FullID	Site	Succession	SampleVolume_mL	Altitude
LT1b04Lr	LT	Late	7	1239
LT1b12Er	LT	Early	7.5	1239
LT1b13Er	LT	Early	10	1239
LT1c05Er	LT	Early	7.5	1239
LT1c06Lr	LT	Late	6	1239
LT1c07Lr	LT	Late	7.5	1239
LT1c08Lr	LT	Late	10	1239
LT1c09Lr	LT	Late	8	1239
LT1c10Lr	LT	Late	13	1239
LT1c11Lr	LT	Late	5	1239
LT1c17Er	LT	Early	2	1239
LT1N01Mr	LT	Moss	0.854300000000001	1239
LT1N02Mr	LT	Moss	0.7677	1239
LT2a01Lr	LT	Late	14	1239
LT2a02Lr	LT	Late	15	1239
LT2a03Er	LT	Early	4	1239
LT2a04Lr	LT	Late	10	1239
LT2a05Er	LT	Early	7.5	1239
LT2a06Er	LT	Early	10	1239
LT2a07Lr	LT	Late	15	1239
LT2a08Lr	LT	Late	12.5	1239
LT2a09Er	LT	Early	12.5	1239
LT2b10Er	LT	Early	10	1239
LT2b11Lr	LT	Late	9	1239
LT2b12Er	LT	Early	4.5	1239
LT2b13Lr	LT	Late	5	1239
LT2b14Lr	LT	Late	4.5	1239
LT2b15Er	LT	Early	5	1239
LT2b16Er	LT	Early	4.5	1239
LT2N01Mr	LT	Moss	0.782400000000001	1239
LT2N02Mr	LT	Moss	0.693900000000001	1239
LT3a01Lr	LT	Late	12.5	1239
LT3a02Er	LT	Early	14	1239
LT3a03Lr	LT	Late	7.5	1239
LT3a04Er	LT	Early	4.5	1239
LT3a05Er	LT	Early	5	1239
LT3a06Er	LT	Early	5.5	1239
LT3a07Lr	LT	Late	19	1239
LT3a08Er	LT	Early	12.5	1239
LT3a09Lr	LT	Late	7.5	1239
LT3a10Er	LT	Early	7.5	1239
LT3a11Er	LT	Early	2	1239
LT3a12Er	LT	Early	7.5	1239
LT3a13Lr	LT	Late	15	1239
LT3a14Lr	LT	Late	10	1239
LT3a15Lr	LT	Late	2.5	1239
LT3a16Lr	LT	Late	14	1239
LT3N01Mr	LT	Moss	0.855100000000001	1239
LT3N02Mr	LT	Moss	0.954600000000001	1239
LT4a01Lr	LT	Late	10	1239
LT4a02Lr	LT	Late	4.5	1239
LT4a03Lr	LT	Late	5	1239
LT4a04Lr	LT	Late	10	1239
LT4a05Lr	LT	Late	10	1239
LT4a06Er	LT	Early	5	1239
LT4a07Er	LT	Early	5	1239
LT4a08Lr	LT	Late	15	1239
